,review_id,plot,cast,production,visuals,soundplay,dialogue,originality
43,rw0368552,negative,positive,neutral,not discussed,not discussed,negative,negative
44,rw1799536,negative,negative,negative,negative,negative,negative,negative
45,rw0368541,negative,negative,negative,not discussed,not discussed,negative,negative
46,rw1830769,negative,not discussed,negative,not discussed,not discussed,negative,negative
47,rw1816014,negative,not discussed,negative,not discussed,not discussed,negative,negative
48,rw0368543,negative,neutral,negative,not discussed,not discussed,negative,negative
49,rw1824450,negative,not discussed,negative,not discussed,not discussed,negative,negative
50,rw0368547,neutral,positive,neutral,not discussed,not discussed,negative,not discussed
51,rw0368539,positive,positive,positive,not discussed,not discussed,not discussed,not discussed
52,rw0368548,neutral,positive,neutral,not discussed,not discussed,negative,not discussed
53,rw0368549,positive,positive,not discussed,not discussed,not discussed,not discussed,not discussed
54,rw0597181,positive,positive,positive,positive,positive,positive,positive
55,rw0368545,negative,positive,not discussed,not discussed,not discussed,not discussed,negative
56,rw2445236,mixed,not discussed,not discussed,positive,not discussed,negative,positive
57,rw1733782,positive,positive,neutral,not discussed,not discussed,positive,positive
58,rw3103818,mixed,neutral,positive,positive,not discussed,negative,negative
59,rw0368550,neutral,negative,neutral,not discussed,not discussed,negative,not discussed
60,rw1408640,neutral,positive,not discussed,not discussed,not discussed,negative,negative
61,rw2374332,negative,positive,not discussed,not discussed,not discussed,negative,not discussed
62,rw0368540,neutral,positive,not discussed,not discussed,not discussed,not discussed,negative
63,rw2467942,mixed,positive,positive,positive,not discussed,not discussed,positive
64,rw2435875,negative,neutral,negative,neutral,not discussed,negative,negative
65,rw2430158,negative,neutral,negative,negative,not discussed,negative,negative
66,rw2429730,negative,not discussed,not discussed,not discussed,not discussed,not discussed,mixed
67,rw2612304,negative,negative,negative,negative,negative,negative,negative
68,rw2373757,negative,negative,negative,negative,negative,negative,negative
69,rw8414884,negative,not discussed,not discussed,not discussed,not discussed,negative,not discussed
70,rw2401808,negative,neutral,neutral,neutral,neutral,neutral,negative
71,rw2399422,negative,negative,negative,negative,negative,negative,negative
72,rw2606535,positive,positive,positive,positive,positive,positive,positive
73,rw2382964,negative,neutral,not discussed,positive,not discussed,not discussed,negative
74,rw2442103,positive,positive,positive,positive,positive,positive,positive
75,rw2503427,positive,positive,positive,positive,not discussed,positive,positive
76,rw3635756,negative,negative,mixed,positive,not discussed,mixed,positive
77,rw3049594,positive,mixed,neutral,not discussed,not discussed,positive,positive
78,rw3643045,neutral,not discussed,not discussed,positive,not discussed,not discussed,mixed
79,rw2373551,negative,negative,negative,not discussed,not discussed,negative,negative
80,rw1722549,positive,positive,not discussed,not discussed,not discussed,positive,not discussed
81,rw2447337,mixed,positive,positive,positive,positive,neutral,positive
82,rw2399845,positive,positive,positive,positive,positive,not discussed,positive
83,rw7087871,positive,not discussed,not discussed,positive,positive,positive,not discussed
84,rw1675109,positive,positive,not discussed,not discussed,not discussed,positive,positive
85,rw1856636,neutral,positive,negative,neutral,not discussed,mixed,neutral
86,rw1710439,positive,positive,positive,not discussed,not discussed,positive,not discussed
87,rw1931739,negative,negative,negative,not discussed,not discussed,negative,negative
88,rw1740933,positive,positive,positive,positive,not discussed,positive,positive
89,rw1675457,positive,positive,positive,not discussed,not discussed,positive,not discussed
90,rw2273049,positive,positive,positive,not discussed,not discussed,positive,positive
91,rw2924402,mixed,positive,negative,not discussed,not discussed,negative,negative
92,rw1730485,positive,positive,not discussed,not discussed,not discussed,positive,not discussed
93,rw2273006,negative,mixed,negative,negative,not discussed,negative,negative
94,rw3262557,negative,positive,negative,not discussed,not discussed,negative,negative
95,rw2071029,positive,positive,not discussed,not discussed,not discussed,positive,positive
96,rw1724377,positive,positive,not discussed,not discussed,not discussed,positive,positive
97,rw1721186,positive,positive,not discussed,not discussed,not discussed,positive,not discussed
98,rw5923466,positive,positive,negative,negative,positive,positive,positive
99,rw1830836,positive,positive,positive,not discussed,not discussed,positive,not discussed
100,rw1838102,negative,neutral,not discussed,not discussed,not discussed,negative,positive
101,rw1781573,negative,not discussed,negative,not discussed,not discussed,negative,negative
102,rw1486461,mixed,positive,not discussed,neutral,not discussed,neutral,negative
103,rw0516373,negative,positive,neutral,negative,negative,neutral,positive
104,rw1581501,positive,positive,neutral,neutral,neutral,positive,neutral
105,rw1498688,positive,positive,not discussed,not discussed,not discussed,not discussed,positive
106,rw1482748,positive,positive,positive,positive,positive,positive,neutral
107,rw2629569,positive,mixed,negative,positive,positive,mixed,positive
108,rw5511403,positive,positive,not discussed,positive,not discussed,positive,mixed
109,rw2106836,negative,positive,neutral,not discussed,not discussed,mixed,negative
110,rw1945664,positive,positive,positive,positive,not discussed,positive,positive
111,rw6043094,positive,positive,positive,positive,not discussed,positive,positive
112,rw2080234,negative,positive,negative,not discussed,not discussed,negative,negative
113,rw0240630,mixed,positive,not discussed,not discussed,not discussed,positive,negative
114,rw0844999,positive,positive,not discussed,not discussed,not discussed,positive,positive
115,rw0844943,positive,positive,not discussed,not discussed,not discussed,positive,positive
116,rw1916951,negative,negative,neutral,positive,not discussed,negative,negative
117,rw2034984,positive,positive,positive,positive,positive,positive,positive
118,rw2232185,negative,positive,positive,positive,positive,positive,mixed
119,rw2152021,negative,mixed,negative,positive,not discussed,negative,mixed
120,rw2536265,positive,positive,positive,positive,positive,positive,positive
121,rw3552869,positive,mixed,positive,positive,positive,mixed,not discussed
122,rw2535386,positive,positive,positive,positive,positive,not discussed,positive
123,rw2535192,positive,mixed,positive,positive,positive,positive,positive
124,rw2593554,mixed,positive,not discussed,positive,positive,negative,not discussed
125,rw8067641,negative,mixed,negative,not discussed,negative,negative,negative
126,rw1267588,mixed,positive,positive,positive,positive,not discussed,mixed
127,rw2158547,positive,mixed,neutral,not discussed,not discussed,mixed,neutral
128,rw1871544,positive,positive,positive,positive,not discussed,positive,positive
129,rw2202019,positive,not discussed,not discussed,not discussed,not discussed,not discussed,positive
130,rw3233699,negative,positive,mixed,positive,not discussed,positive,positive
131,rw0233353,positive,positive,positive,positive,positive,positive,positive
132,rw1157645,positive,positive,positive,positive,positive,positive,positive
133,rw2775047,positive,not discussed,positive,positive,positive,positive,positive
134,rw1533190,negative,negative,negative,negative,not discussed,negative,negative
135,rw1399944,negative,negative,negative,neutral,not discussed,negative,negative
136,rw1022100,positive,positive,not discussed,not discussed,not discussed,positive,positive
137,rw1950042,negative,mixed,negative,not discussed,not discussed,negative,negative
138,rw2335285,positive,positive,mixed,not discussed,not discussed,positive,positive
139,rw1030834,positive,positive,not discussed,not discussed,not discussed,not discussed,positive
140,rw2613943,positive,positive,positive,positive,not discussed,mixed,positive
141,rw1176692,positive,positive,not discussed,mixed,neutral,positive,positive
142,rw1696464,positive,positive,positive,positive,not discussed,positive,mixed
143,rw1930557,negative,not discussed,mixed,positive,not discussed,negative,negative
144,rw1930339,negative,not discussed,negative,negative,not discussed,negative,negative
145,rw1931745,positive,mixed,positive,positive,positive,mixed,neutral
146,rw1937243,negative,negative,negative,negative,negative,negative,negative
147,rw3783402,positive,positive,not discussed,not discussed,not discussed,mixed,not discussed
148,rw4321000,negative,neutral,negative,neutral,not discussed,negative,negative
149,rw1602065,negative,not discussed,negative,positive,not discussed,negative,positive
150,rw6562175,mixed,neutral,negative,mixed,not discussed,neutral,positive
151,rw1122393,positive,positive,positive,positive,not discussed,positive,neutral
152,rw1954700,positive,positive,neutral,neutral,not discussed,positive,neutral
153,rw1998942,positive,positive,not discussed,negative,not discussed,positive,positive
154,rw1947693,positive,positive,positive,positive,positive,positive,neutral
155,rw3226753,positive,positive,not discussed,positive,positive,mixed,negative
156,rw0996270,neutral,positive,positive,positive,not discussed,mixed,neutral
157,rw2127794,positive,positive,positive,positive,not discussed,positive,neutral
158,rw2397160,positive,positive,positive,positive,positive,positive,positive
159,rw2396560,negative,positive,positive,positive,not discussed,positive,negative
160,rw2393886,positive,positive,positive,positive,positive,positive,positive
161,rw1256032,positive,positive,positive,not discussed,positive,positive,mixed
162,rw2369225,positive,mixed,not discussed,not discussed,not discussed,positive,negative
163,rw2365418,mixed,positive,not discussed,positive,positive,mixed,neutral
164,rw2367976,positive,positive,positive,not discussed,not discussed,positive,negative
165,rw2154982,positive,positive,positive,not discussed,not discussed,positive,positive
166,rw2092147,positive,positive,positive,positive,not discussed,not discussed,positive
167,rw2094681,positive,positive,neutral,not discussed,not discussed,positive,positive
168,rw2684082,positive,positive,neutral,positive,not discussed,positive,positive
169,rw3197750,positive,positive,not discussed,positive,not discussed,positive,positive
170,rw1853266,negative,neutral,negative,negative,not discussed,negative,negative
171,rw0623373,positive,positive,positive,positive,not discussed,positive,positive
172,rw0623352,positive,positive,positive,positive,not discussed,positive,positive
173,rw2297704,positive,positive,positive,positive,positive,positive,positive
174,rw2696252,negative,not discussed,not discussed,positive,not discussed,negative,negative
175,rw0161024,positive,not discussed,not discussed,positive,not discussed,not discussed,positive
176,rw7491194,mixed,positive,neutral,positive,not discussed,neutral,positive
177,rw8269475,negative,mixed,neutral,neutral,neutral,negative,negative
178,rw2344802,positive,positive,neutral,negative,neutral,positive,positive
179,rw1730689,mixed,not discussed,negative,positive,positive,not discussed,positive
180,rw2763208,positive,positive,positive,positive,not discussed,positive,positive
181,rw1839407,positive,positive,positive,positive,positive,not discussed,positive
182,rw2567403,positive,positive,positive,positive,not discussed,not discussed,positive
183,rw2513225,positive,positive,not discussed,not discussed,not discussed,not discussed,positive
184,rw2508778,positive,positive,positive,positive,not discussed,not discussed,positive
185,rw1621597,mixed,positive,positive,positive,not discussed,mixed,positive
186,rw1269864,negative,negative,negative,negative,negative,negative,negative
187,rw2323721,negative,neutral,negative,positive,not discussed,negative,not discussed
188,rw2333029,negative,mixed,negative,not discussed,negative,negative,negative
189,rw2326241,positive,positive,positive,positive,not discussed,positive,not discussed
190,rw1305588,positive,not discussed,positive,not discussed,not discussed,positive,not discussed
191,rw1272706,not discussed,not discussed,not discussed,not discussed,not discussed,not discussed,not discussed
192,rw2240278,negative,neutral,neutral,neutral,not discussed,negative,positive
193,rw2111572,mixed,neutral,not discussed,positive,not discussed,neutral,positive
194,rw1341744,negative,mixed,negative,mixed,not discussed,negative,negative
195,rw2641093,mixed,negative,mixed,negative,not discussed,negative,negative
196,rw2531307,negative,positive,not discussed,not discussed,not discussed,mixed,negative
197,rw2488478,negative,not discussed,negative,not discussed,not discussed,negative,negative
198,rw2386365,negative,neutral,not discussed,negative,not discussed,mixed,negative
199,rw2375300,positive,positive,positive,positive,not discussed,positive,mixed
200,rw1431310,positive,positive,not discussed,not discussed,not discussed,positive,positive
201,rw1454199,positive,positive,neutral,not discussed,not discussed,positive,mixed
202,rw1547362,positive,positive,not discussed,not discussed,not discussed,positive,positive
203,rw0871984,negative,negative,negative,negative,negative,negative,negative
204,rw2257054,neutral,positive,not discussed,not discussed,not discussed,positive,neutral
205,rw2123550,mixed,positive,not discussed,not discussed,not discussed,positive,negative
206,rw0871918,negative,,,,,,
207,rw0466974,mixed,,,,,,
208,rw1875931,negative,,,,,,
209,rw3660699,positive,,,,,,
210,rw2052887,positive,,,,,,
211,rw2907213,negative,,,,,,
212,rw3232433,negative,,,,,,
213,rw1082313,positive,,,,,,
214,rw0794569,negative,,,,,,
215,rw0784756,positive,,,,,,
216,rw2790897,positive,,,,,,
217,rw2107872,negative,,,,,,
218,rw0715680,positive,,,,,,
219,rw3471331,positive,,,,,,
220,rw2539902,negative,,,,,,
221,rw6991764,positive,,,,,,
222,rw3445341,neutral,,,,,,
223,rw5150783,negative,,,,,,
224,rw2658639,positive,,,,,,
225,rw1233171,positive,,,,,,
226,rw1241622,positive,,,,,,
227,rw1731080,positive,,,,,,
228,rw2303673,negative,,,,,,
229,rw1735207,negative,,,,,,
230,rw8537033,positive,,,,,,
231,rw1615557,positive,,,,,,
232,rw1605450,negative,,,,,,
233,rw0425068,positive,,,,,,
234,rw1067801,positive,,,,,,
235,rw2937310,positive,,,,,,
236,rw2685928,positive,,,,,,
237,rw2694768,positive,,,,,,
238,rw0716114,negative,,,,,,
239,rw0716092,positive,,,,,,
240,rw0716094,negative,,,,,,
241,rw1084873,negative,,,,,,
242,rw1332102,negative,,,,,,
243,rw2114353,positive,,,,,,
244,rw1527244,positive,,,,,,
245,rw1876144,negative,,,,,,
246,rw1097058,negative,,,,,,
247,rw1650921,negative,,,,,,
248,rw1474502,mixed,,,,,,
249,rw2316055,negative,,,,,,
250,rw3380854,positive,,,,,,
251,rw2544257,mixed,,,,,,
252,rw3356612,positive,,,,,,
253,rw2468839,positive,,,,,,
254,rw2205522,not discussed,,,,,,
255,rw7368741,negative,,,,,,
256,rw0132764,positive,,,,,,
257,rw1886074,positive,,,,,,
258,rw1003274,neutral,,,,,,
259,rw4283089,positive,,,,,,
260,rw1359622,positive,,,,,,
261,rw5750970,positive,,,,,,
262,rw0767987,positive,,,,,,
263,rw0768538,negative,,,,,,
264,rw2285639,positive,,,,,,
265,rw2437486,positive,,,,,,
266,rw2437248,positive,,,,,,
267,rw2441091,positive,,,,,,
268,rw2437362,positive,,,,,,
269,rw5075326,mixed,,,,,,
270,rw2560624,positive,,,,,,
271,rw2489908,negative,,,,,,
272,rw2434183,positive,,,,,,
273,rw1097525,negative,,,,,,
274,rw2544747,positive,,,,,,
275,rw1873828,positive,,,,,,
276,rw2691646,negative,,,,,,
277,rw1017044,positive,,,,,,
278,rw0981652,positive,,,,,,
279,rw1015027,positive,,,,,,
280,rw1013038,positive,,,,,,
281,rw1023209,mixed,,,,,,
282,rw1522092,positive,,,,,,
283,rw1308911,positive,,,,,,
284,rw2653159,negative,,,,,,
285,rw2656112,mixed,,,,,,
286,rw3337802,positive,,,,,,
287,rw1206453,negative,,,,,,
288,rw1065963,negative,,,,,,
289,rw1175626,negative,,,,,,
290,rw6983876,positive,,,,,,
291,rw2299068,negative,,,,,,
292,rw2329981,negative,,,,,,
293,rw2385850,positive,,,,,,
294,rw2009880,positive,,,,,,
295,rw5778522,negative,,,,,,
296,rw2322168,negative,,,,,,
297,rw1983452,positive,,,,,,
298,rw1992346,positive,,,,,,
299,rw1993014,positive,,,,,,
300,rw1998943,positive,,,,,,
301,rw1223869,positive,,,,,,
302,rw2534958,mixed,,,,,,
303,rw2305944,positive,,,,,,
304,rw1351025,positive,,,,,,
305,rw1051129,positive,,,,,,
306,rw3346503,positive,,,,,,
307,rw0553150,negative,,,,,,
308,rw2098015,positive,,,,,,
309,rw3800049,negative,,,,,,
310,rw1180723,mixed,,,,,,
311,rw1066703,mixed,,,,,,
312,rw1750826,positive,,,,,,
313,rw1749961,positive,,,,,,
314,rw1829842,negative,,,,,,
315,rw4884212,positive,,,,,,
316,rw8538601,mixed,,,,,,
317,rw5102472,positive,,,,,,
318,rw4469690,positive,,,,,,
319,rw2519577,positive,,,,,,
320,rw2520651,negative,,,,,,
321,rw7690849,positive,,,,,,
322,rw2367904,mixed,,,,,,
323,rw2656515,mixed,,,,,,
324,rw2338599,mixed,,,,,,
325,rw0762010,positive,,,,,,
326,rw0762135,positive,,,,,,
327,rw1757572,mixed,,,,,,
328,rw1764149,negative,,,,,,
329,rw1849791,mixed,,,,,,
330,rw2250063,positive,,,,,,
331,rw2235850,positive,,,,,,
332,rw3443151,positive,,,,,,
333,rw0988607,positive,,,,,,
334,rw1063369,positive,,,,,,
335,rw2088001,positive,,,,,,
336,rw1124624,positive,,,,,,
337,rw0630376,not discussed,,,,,,
338,rw1774996,negative,,,,,,
339,rw1720210,negative,,,,,,
340,rw2801006,positive,,,,,,
341,rw5924611,positive,,,,,,
342,rw2082013,negative,,,,,,
343,rw1324638,mixed,,,,,,
344,rw1014654,positive,,,,,,
345,rw1649128,negative,,,,,,
346,rw1097827,positive,,,,,,
347,rw2982936,positive,,,,,,
348,rw4107813,positive,,,,,,
349,rw3191058,positive,,,,,,
350,rw1051468,positive,,,,,,
351,rw3547750,positive,,,,,,
352,rw1729732,mixed,,,,,,
353,rw5191388,negative,,,,,,
354,rw5479988,mixed,,,,,,
355,rw3876575,positive,,,,,,
356,rw3513815,negative,,,,,,
357,rw2214297,positive,,,,,,
358,rw0920026,neutral,,,,,,
359,rw1586160,negative,,,,,,
360,rw0920173,positive,,,,,,
361,rw2220817,positive,,,,,,
362,rw5355304,positive,,,,,,
363,rw2322896,positive,,,,,,
364,rw6203594,negative,,,,,,
365,rw1621663,positive,,,,,,
366,rw1623912,positive,,,,,,
367,rw1630196,positive,,,,,,
368,rw1691187,positive,,,,,,
369,rw2387111,neutral,,,,,,
370,rw1675097,negative,,,,,,
371,rw0728535,negative,,,,,,
372,rw1814687,positive,,,,,,
373,rw1740431,neutral,,,,,,
374,rw2752210,negative,,,,,,
375,rw0913449,negative,,,,,,
376,rw0140159,positive,,,,,,
377,rw1869854,mixed,,,,,,
378,rw1715526,negative,,,,,,
379,rw2431147,negative,,,,,,
380,rw2430693,negative,,,,,,
381,rw2298859,negative,,,,,,
382,rw2299102,negative,,,,,,
383,rw1887369,positive,,,,,,
384,rw1260804,positive,,,,,,
385,rw7586023,positive,,,,,,
386,rw2127194,mixed,,,,,,
387,rw1024687,negative,,,,,,
388,rw2632432,mixed,,,,,,
389,rw1964495,negative,,,,,,
390,rw1965693,mixed,,,,,,
391,rw3869768,negative,,,,,,
392,rw1970659,negative,,,,,,
393,rw1964803,positive,,,,,,
394,rw1965971,negative,,,,,,
395,rw1965584,negative,,,,,,
396,rw2241389,negative,,,,,,
397,rw2490152,positive,,,,,,
398,rw1858357,positive,,,,,,
399,rw2299382,negative,,,,,,
400,rw1906632,positive,,,,,,
401,rw1905458,mixed,,,,,,
402,rw2059093,negative,,,,,,
403,rw2110973,negative,,,,,,
404,rw2110877,positive,,,,,,
405,rw1893576,positive,,,,,,
406,rw3580712,mixed,,,,,,
407,rw1885212,positive,,,,,,
408,rw2054435,mixed,,,,,,
409,rw2116798,mixed,,,,,,
410,rw1876092,negative,,,,,,
411,rw2386803,mixed,,,,,,
412,rw7964146,positive,,,,,,
413,rw2560163,positive,,,,,,
414,rw2560929,positive,,,,,,
415,rw2559910,positive,,,,,,
416,rw2563531,positive,,,,,,
417,rw2558812,positive,,,,,,
418,rw2564919,positive,,,,,,
419,rw2665347,mixed,,,,,,
420,rw2559894,positive,,,,,,
421,rw5768244,mixed,,,,,,
422,rw3625423,positive,,,,,,
423,rw2561109,positive,,,,,,
424,rw6545968,positive,,,,,,
425,rw2570435,positive,,,,,,
426,rw3130791,positive,,,,,,
427,rw2563284,positive,,,,,,
428,rw2822197,negative,,,,,,
429,rw2720903,positive,,,,,,
430,rw6770814,positive,,,,,,
431,rw2757362,negative,,,,,,
432,rw2560726,negative,,,,,,
433,rw2565428,positive,,,,,,
434,rw2561738,negative,,,,,,
435,rw3204325,positive,,,,,,
436,rw5669190,positive,,,,,,
437,rw4211706,neutral,,,,,,
438,rw6434452,mixed,,,,,,
439,rw0789872,positive,,,,,,
440,rw6976039,neutral,,,,,,
441,rw3729864,neutral,,,,,,
442,rw1009269,negative,,,,,,
443,rw5524469,positive,,,,,,
444,rw6358184,positive,,,,,,
445,rw2499094,mixed,,,,,,
446,rw2596128,negative,,,,,,
447,rw4311157,positive,,,,,,
448,rw1984344,positive,,,,,,
449,rw7839976,positive,,,,,,
450,rw0789978,negative,,,,,,
451,rw3512612,positive,,,,,,
452,rw4311161,not discussed,,,,,,
453,rw0790029,negative,,,,,,
454,rw1398477,negative,,,,,,
455,rw1652839,negative,,,,,,
456,rw1833276,negative,,,,,,
457,rw1376726,negative,,,,,,
458,rw8760622,negative,,,,,,
459,rw1480790,mixed,,,,,,
460,rw1394772,negative,,,,,,
461,rw1655426,positive,,,,,,
462,rw1378073,mixed,,,,,,
463,rw1380976,mixed,,,,,,
464,rw1374145,positive,,,,,,
465,rw1378364,negative,,,,,,
466,rw1380654,negative,,,,,,
467,rw1384220,positive,,,,,,
468,rw1379046,negative,,,,,,
469,rw1375541,negative,,,,,,
470,rw1396642,negative,,,,,,
471,rw1376173,mixed,,,,,,
472,rw2906592,negative,,,,,,
473,rw1377784,positive,,,,,,
474,rw1494110,negative,,,,,,
475,rw1378805,negative,,,,,,
476,rw3380609,positive,,,,,,
477,rw1377730,positive,,,,,,
478,rw1958647,neutral,,,,,,
479,rw1969371,neutral,,,,,,
480,rw1960815,positive,,,,,,
481,rw1965606,neutral,,,,,,
482,rw2436951,negative,,,,,,
483,rw1972375,not discussed,,,,,,
484,rw1957428,positive,,,,,,
485,rw1962758,positive,,,,,,
486,rw2179845,neutral,,,,,,
487,rw5916350,positive,,,,,,
488,rw1996289,positive,,,,,,
489,rw2116516,positive,,,,,,
490,rw2082078,positive,,,,,,
491,rw1955327,negative,,,,,,
492,rw3074067,negative,,,,,,
493,rw1959316,positive,,,,,,
494,rw1958163,negative,,,,,,
495,rw1959896,positive,,,,,,
496,rw1956560,negative,,,,,,
497,rw2040316,negative,,,,,,
498,rw1958184,positive,,,,,,
499,rw2024206,positive,,,,,,
500,rw2132768,not discussed,,,,,,
501,rw5520431,not discussed,,,,,,
502,rw1957696,negative,,,,,,
503,rw4097278,positive,,,,,,
504,rw5047568,positive,,,,,,
505,rw2144678,positive,,,,,,
506,rw2136049,mixed,,,,,,
507,rw2366018,negative,,,,,,
508,rw5195869,negative,,,,,,
509,rw2139982,mixed,,,,,,
510,rw2185722,positive,,,,,,
511,rw3284108,mixed,,,,,,
512,rw2695292,negative,,,,,,
513,rw2612497,not discussed,,,,,,
514,rw4614793,positive,,,,,,
515,rw2255317,negative,,,,,,
516,rw2936779,negative,,,,,,
517,rw3624494,neutral,,,,,,
518,rw3742020,positive,,,,,,
519,rw6347656,negative,,,,,,
520,rw3169982,negative,,,,,,
521,rw2136870,mixed,,,,,,
522,rw2209456,negative,,,,,,
523,rw3579181,mixed,,,,,,
524,rw3382735,mixed,,,,,,
525,rw2260165,negative,,,,,,
526,rw2034494,positive,,,,,,
527,rw6874260,positive,,,,,,
528,rw2180724,positive,,,,,,
529,rw2305372,positive,,,,,,
530,rw2024575,positive,,,,,,
531,rw2074953,positive,,,,,,
532,rw3412461,neutral,,,,,,
533,rw2016220,positive,,,,,,
534,rw2030154,positive,,,,,,
535,rw2023214,positive,,,,,,
536,rw2016608,positive,,,,,,
537,rw2184561,neutral,,,,,,
538,rw2069363,neutral,,,,,,
539,rw2031516,negative,,,,,,
540,rw2014561,neutral,,,,,,
541,rw6861110,positive,,,,,,
542,rw7419628,positive,,,,,,
543,rw3152427,mixed,,,,,,
544,rw3154803,positive,,,,,,
545,rw6940010,positive,,,,,,
546,rw3202112,positive,,,,,,
547,rw6881780,positive,,,,,,
548,rw7588729,positive,,,,,,
549,rw3630085,positive,,,,,,
550,rw1860106,negative,,,,,,
551,rw2177989,positive,,,,,,
552,rw1793395,negative,,,,,,
553,rw1634750,positive,,,,,,
554,rw1585644,negative,,,,,,
555,rw2167744,negative,,,,,,
556,rw1585681,negative,,,,,,
557,rw1859890,negative,,,,,,
558,rw2186166,negative,,,,,,
559,rw2122688,neutral,,,,,,
560,rw1801832,negative,,,,,,
561,rw2020857,negative,,,,,,
562,rw2240246,negative,,,,,,
563,rw2174350,negative,,,,,,
564,rw1886004,positive,,,,,,
565,rw2047192,positive,,,,,,
566,rw2068710,negative,,,,,,
567,rw2439254,negative,,,,,,
568,rw2225377,mixed,,,,,,
569,rw1665301,negative,,,,,,
570,rw2610080,negative,,,,,,
571,rw1982140,negative,,,,,,
572,rw1799795,negative,,,,,,
573,rw3517336,positive,,,,,,
574,rw5873375,positive,,,,,,
575,rw0250362,positive,,,,,,
576,rw0250338,positive,,,,,,
577,rw5409342,positive,,,,,,
578,rw3335866,positive,,,,,,
579,rw1131932,mixed,,,,,,
580,rw0250368,positive,,,,,,
581,rw2168803,negative,,,,,,
582,rw3611525,positive,,,,,,
583,rw2703451,positive,,,,,,
584,rw8216186,positive,,,,,,
585,rw6684140,negative,,,,,,
586,rw7930504,positive,,,,,,
587,rw0940227,positive,,,,,,
588,rw4726743,positive,,,,,,
589,rw3157471,positive,,,,,,
590,rw9380737,positive,,,,,,
591,rw2172182,negative,,,,,,
592,rw7762493,positive,,,,,,
593,rw1784150,negative,,,,,,
594,rw2391237,positive,,,,,,
595,rw2370568,positive,,,,,,
596,rw2365990,positive,,,,,,
597,rw3178992,positive,,,,,,
598,rw2377716,positive,,,,,,
599,rw2384678,positive,,,,,,
600,rw2597482,negative,,,,,,
601,rw2313411,positive,,,,,,
602,rw5179466,positive,,,,,,
603,rw3330200,positive,,,,,,
604,rw5714990,positive,,,,,,
605,rw2433366,negative,,,,,,
606,rw2523227,negative,,,,,,
607,rw2361178,positive,,,,,,
608,rw2813424,positive,,,,,,
609,rw2379139,positive,,,,,,
610,rw2353288,positive,,,,,,
611,rw2505865,negative,,,,,,
612,rw2425993,positive,,,,,,
613,rw7891390,positive,,,,,,
614,rw2388654,negative,,,,,,
